Paper title,Citing paper title
Cost-based optimization of multistore query plans,Optimising Queries for Pattern Detection Over Large Scale Temporally Evolving Graphs
Cost-based optimization of multistore query plans,On the Optimization of Query Plans in Multistores (Discussion Paper)
Cost-based optimization of multistore query plans,Research on High-Performance Fusion Computing Technology for Large-Scale Time-Series and Relational Data
Cost-based optimization of multistore query plans,Enhancing Database Performance through a Comparison of Traditional and AI-Driven Query Optimization Techniques
DART: De-Anonymization of personal gazetteers through social trajectories,Associated information and communication technologies challenges of smart city development
DART: De-Anonymization of personal gazetteers through social trajectories,Toward privacy preservation using clustering based anonymization: recent advances and future research outlook
DART: De-Anonymization of personal gazetteers through social trajectories,A survey and experimental study on privacy-preserving trajectory data publishing
DART: De-Anonymization of personal gazetteers through social trajectories,Colossal trajectory mining: a unifying approach to mine behavioral mobility patterns
DART: De-Anonymization of personal gazetteers through social trajectories,The Role of Ideology in Motivating Lone Actor Terrorism: An Analysis of the Online Record of the Christchurch Terrorist
DART: De-Anonymization of personal gazetteers through social trajectories,Trajectory privacy protection method with smart contract-based query exchange in the Social Internet of Vehicles
DART: De-Anonymization of personal gazetteers through social trajectories,Privacy preserving location based services: From centralized to federated approaches
DART: De-Anonymization of personal gazetteers through social trajectories,A privacy-aware zero interaction smart mobility system
DART: De-Anonymization of personal gazetteers through social trajectories,Colossal Trajectory Mining Semantic Co-movement Pattern Mining
DART: De-Anonymization of personal gazetteers through social trajectories,Augmenting the Knowledge Pyramid with Unconventional Data and Advanced Analytics
DART: De-Anonymization of personal gazetteers through social trajectories,A study on privacy protection techniques for spatiotemporal data
Colossal trajectory mining: a unifying approach to mine behavioral mobility patterns,"Spatiotemporal pattern mining of moving objects: Concepts, methods, and challenges"
Colossal trajectory mining: a unifying approach to mine behavioral mobility patterns,Particle filtering supported probability density estimation of mobility patterns
Colossal trajectory mining: a unifying approach to mine behavioral mobility patterns,How to describe spatiotemporal patterns of moving objects: a new classification framework
Colossal trajectory mining: a unifying approach to mine behavioral mobility patterns,Travel mode identification: a spectral-attention enhanced approach with geographic context
Colossal trajectory mining: a unifying approach to mine behavioral mobility patterns,Towards Recurring Co-traveling Pattern Detection: A Summary of Results
Colossal trajectory mining: a unifying approach to mine behavioral mobility patterns,Colossal Trajectory Mining Semantic Co-movement Pattern Mining
Colossal trajectory mining: a unifying approach to mine behavioral mobility patterns,Descriptive analysis of movement data based on multivariate movement patterns
Colossal trajectory mining: a unifying approach to mine behavioral mobility patterns,Grid-Based Index of Spatiotemporal Data for AIS Trajectories
Colossal trajectory mining: a unifying approach to mine behavioral mobility patterns,GS-FFO Based Meta-Heuristic Clustering for Discovering Colossal Patterns in High-Dimensional Data
Colossal trajectory mining: a unifying approach to mine behavioral mobility patterns,Clustering for Discovering Colossal Patterns in High-Dimensional Data
The tell-tale cube,Enhancing cubes with models to describe multidimensional data
The tell-tale cube,Assess queries for interactive analysis of data cubes
The tell-tale cube,Self-adaptive analytical querying over schemaless data streams
The tell-tale cube,Supporting the generation of data narratives
The tell-tale cube,Suggesting assess queries for interactive analysis of multidimensional data
The tell-tale cube,"Leveraging users' behavior, intentions and interests for enhancing Exploratory Data Analysis and Data Narration"
The tell-tale cube,HABILITATION À DIRIGER DES RECHERCHES
The tell-tale cube,A framework for crafting data narratives
The tell-tale cube,Augmenting the Knowledge Pyramid with Unconventional Data and Advanced Analytics
The tell-tale cube,Un prototipo per analizzare dati multidimensionali sulla base delle intenzioni dell'utente
Augmented Business Intelligence.,mRAT-SQL+ GAP: a Portuguese text-to-SQL transformer
Augmented Business Intelligence.,COOL: A framework for conversational OLAP
Augmented Business Intelligence.,HAMLET: A framework for Human-centered AutoML via Structured Argumentation
Augmented Business Intelligence.,A-BI+: A framework for augmented business intelligence
Augmented Business Intelligence.,Towards conversational OLAP
Augmented Business Intelligence.,A Multidisciplinary Overview of “Business Intelligence Systems” Concept and Maturity Criteria: A Study in the Logistics and Transportation Sector
Augmented Business Intelligence.,Conversational OLAP
Augmented Business Intelligence.,Augmenting the Knowledge Pyramid with Unconventional Data and Advanced Analytics
Augmented Business Intelligence.,Progettazione e prototipazione di un framework per Conversational OLAP
Suggesting assess queries for interactive analysis of multidimensional data,VOOL: A modular insight-based framework for vocalizing OLAP sessions
Suggesting assess queries for interactive analysis of multidimensional data,Explaining cube measures through intentional analytics
Suggesting assess queries for interactive analysis of multidimensional data,Semantics and multi-query optimization algorithms for the analyze operator
Suggesting assess queries for interactive analysis of multidimensional data,Predicting multidimensional cubes through intentional analytics
Suggesting assess queries for interactive analysis of multidimensional data,The whys and wherefores of cubes
Suggesting assess queries for interactive analysis of multidimensional data,Multi-Query Optimization for the Novel Analyze Operator
Suggesting assess queries for interactive analysis of multidimensional data,"Leveraging users' behavior, intentions and interests for enhancing Exploratory Data Analysis and Data Narration"
Suggesting assess queries for interactive analysis of multidimensional data,HABILITATION À DIRIGER DES RECHERCHES
Explaining cube measures through intentional analytics,VOOL: A modular insight-based framework for vocalizing OLAP sessions
Explaining cube measures through intentional analytics,Semantics and multi-query optimization algorithms for the analyze operator
Explaining cube measures through intentional analytics,Self-adaptive analytical querying over schemaless data streams
Explaining cube measures through intentional analytics,Predicting multidimensional cubes through intentional analytics
Explaining cube measures through intentional analytics,Causal Banzhaf Value for aggregate query explanations.
Explaining cube measures through intentional analytics,Multi-Query Optimization for the Novel Analyze Operator
Explaining cube measures through intentional analytics,Beyond Interpretation: A Reconstructive Model of Intention in Discursive Practice
Map-matching on big data: A distributed and efficient algorithm with a hidden Markov model,Warehouse-distribution integration routing problem under real-world transport conditions with multiple time windows and variable loading efficiency
Map-matching on big data: A distributed and efficient algorithm with a hidden Markov model,Colossal trajectory mining: a unifying approach to mine behavioral mobility patterns
Map-matching on big data: A distributed and efficient algorithm with a hidden Markov model,Traffic congestion forecasting in shanghai based on multi-period hotspot clustering
Map-matching on big data: A distributed and efficient algorithm with a hidden Markov model,User‐centered road network traffic analysis with MobilityDB
Map-matching on big data: A distributed and efficient algorithm with a hidden Markov model,Evolving map matching with markov decision processes
Map-matching on big data: A distributed and efficient algorithm with a hidden Markov model,A Systematic Review of Deep Learning Architectures in Traffic Congestion Prediction.
Map-matching on big data: A distributed and efficient algorithm with a hidden Markov model,Augmenting the Knowledge Pyramid with Unconventional Data and Advanced Analytics
Conceptual design of multidimensional cubes with LLMs: An investigation,Text-to-MDX: LLM-Assisted Generation of MDX Queries from User Questions
Conceptual design of multidimensional cubes with LLMs: An investigation,From Natural Language to Knowledge: The Role of LLMs in Conceptual and Data Modeling
Conceptual design of multidimensional cubes with LLMs: An investigation,Bridging OLAP and RAG: A Multidimensional Approach to the Design of Corpus Partitioning
Conceptual design of multidimensional cubes with LLMs: An investigation,Large Language Models for Schema Evolution in Event-Sourced Systems
Conceptual design of multidimensional cubes with LLMs: An investigation,Large Language Models in Model-Driven Engineering: A Systematic Mapping Study
Conceptual design of multidimensional cubes with LLMs: An investigation,Evaluating Large Language Models for Dimensional Fact Model Design with Automated Pipelines
Smart irrigation system for precision water management: effect on yield and fruit quality of yellow fleshed kiwifruit in northern Italy,Prescriptive watering: Data-driven optimization of water consumption in kiwifruit orchards
Smart irrigation system for precision water management: effect on yield and fruit quality of yellow fleshed kiwifruit in northern Italy,Towards a process-driven design of data platforms
Smart irrigation system for precision water management: effect on yield and fruit quality of yellow fleshed kiwifruit in northern Italy,Process-driven design of cloud data platforms
Smart irrigation system for precision water management: effect on yield and fruit quality of yellow fleshed kiwifruit in northern Italy,Effect of Differentiated Irrigation Availability on the Postharvest Quality Parameters of Actinidia chinensis Fruits
Smart irrigation system for precision water management: effect on yield and fruit quality of yellow fleshed kiwifruit in northern Italy,Design of Cloud Data Platforms
Smart irrigation system for precision water management: effect on yield and fruit quality of yellow fleshed kiwifruit in northern Italy,Valutazione preliminare di un sistema smart di gestione automatizzata dell'irrigazione dell'actinidia
Optimizing execution plans in a multistore,Multi-model query languages: taming the variety of big data
Optimizing execution plans in a multistore,HAMLET: A framework for Human-centered AutoML via Structured Argumentation
Optimizing execution plans in a multistore,Cost-based optimization of multistore query plans
Optimizing execution plans in a multistore,Towards Human-centric AutoML via Logic and Argumentation.
Optimizing execution plans in a multistore,On the Optimization of Query Plans in Multistores (Discussion Paper)
Optimizing execution plans in a multistore,Intelligent Query Routing based on Query Storage Cost for Tiered Databases
VOOL: A modular insight-based framework for vocalizing OLAP sessions,Predicting multidimensional cubes through intentional analytics
VOOL: A modular insight-based framework for vocalizing OLAP sessions,Semantic Caching for OLAP via LLM-Based Query Canonicalization (Extended Version)
VOOL: A modular insight-based framework for vocalizing OLAP sessions,A Conceptual Model for Data Analysis Highlights
VOOL: A modular insight-based framework for vocalizing OLAP sessions,Penerapan Business Intelligence untuk Analisis Kepuasan dan Keluhan Pengguna Layanan Internet Star. net Berbasis Looker Studio
VOOL: A modular insight-based framework for vocalizing OLAP sessions,Penerapan Business Intelligence Untuk Evaluasi Dan Analisis Keluhan Pengguna Terhadap Peningkatan Layanan Jaringan Star. Net
Streaming approach to schema profiling,Impact study of incremental NoSQL refactoring in SkyServer database
Streaming approach to schema profiling,Self-adaptive analytical querying over schemaless data streams
Streaming approach to schema profiling,ASSO: the Automated Schemaless Stream Overseer
Streaming approach to schema profiling,Impact study of NoSQL refactoring in SkyServer database
Streaming approach to schema profiling,Dynamic Stream Clustering for Real-Time Schema Profiling with Dsc+
Autoclues: Exploring clustering pipelines via automl and diversification,Automated Exploratory Clustering to Democratize Clustering Analysis
Autoclues: Exploring clustering pipelines via automl and diversification,Multi Algorithm Selection and Hyperparameter Optimization for Automated Clustering
Autoclues: Exploring clustering pipelines via automl and diversification,ClustRecNet: A Novel End-to-End Deep Learning Framework for Clustering Algorithm Recommendation
Autoclues: Exploring clustering pipelines via automl and diversification,"Democratizing clustering analyses: AutoML, meta-learning, and ensemble clustering to support novice analysts"
Insight-based vocalization of OLAP sessions,VOOL: A modular insight-based framework for vocalizing OLAP sessions
Insight-based vocalization of OLAP sessions,Personalization of OLAP queries for hierarchical visualization under constraints
Insight-based vocalization of OLAP sessions,Personalized OLAP queries under hierarchical visualization constraint
Insight-based vocalization of OLAP sessions,A framework for crafting data narratives
Process-driven design of cloud data platforms,A novel max–min BWM method to boost the digital transformation of resilience supply chains
Process-driven design of cloud data platforms,CTag-DSSE: A Dynamic SSE Scheme with Conversion Tag Supporting Forward/Backward Privacy and Efficient Conjunctive Search
Process-driven design of cloud data platforms,Design of Cloud Data Platforms
Towards a process-driven design of data platforms,Data governance in smart farming: A systematic review of challenges and gaps
Towards a process-driven design of data platforms,Designing Grammar-Guided LLM Outputs for Open Data Integration–A DSR Approach to IoT Data Platforms
Towards a process-driven design of data platforms,Process-driven design of cloud data platforms
The whys and wherefores of cubes,VOOL: A modular insight-based framework for vocalizing OLAP sessions
The whys and wherefores of cubes,Explaining cube measures through intentional analytics
The whys and wherefores of cubes,Using Regression to Explain Cube Measures
Describing multidimensional data through highlights,"Leveraging users' behavior, intentions and interests for enhancing Exploratory Data Analysis and Data Narration"
Describing multidimensional data through highlights,HABILITATION À DIRIGER DES RECHERCHES
Describing multidimensional data through highlights,MATHEMATICAL METHODS OF MULTIDIMENSIONAL DATA INTELLIGENT ANALYSIS
Conversational OLAP in action,Designing a Star Schema for Optimizing the Total Sales of Motorcycles
Conversational OLAP in action,Conversational OLAP
Conversational OLAP in action,Augmenting the Knowledge Pyramid with Unconventional Data and Advanced Analytics
OLAP Querying of Document Stores in the Presence of Schema Variety,Data Warehouse Based on NoSQL: a literature mapping
OLAP Querying of Document Stores in the Presence of Schema Variety,Ciclo de vida de data warehouse baseado em NoSQL: adaptações e análise de desempenho de arquiteturas
OLAP Querying of Document Stores in the Presence of Schema Variety,Business Intelligence: vers un ETL à la demande sur des bases de données orientées documents
An auto-tuning process-based 3D model to forecast irrigation demand in kiwifruit,Assessing soil water dynamics in a drip-irrigated grapefruit orchard using the HYDRUS 2D/3D model: a comparison of unimodal and bimodal hydraulic …
An auto-tuning process-based 3D model to forecast irrigation demand in kiwifruit,Prescriptive watering: Data-driven optimization of water consumption in kiwifruit orchards
On the Optimization of Query Plans in Multistores (Discussion Paper),Unified modeling and polyglot data querying in polystore systems
On the Optimization of Query Plans in Multistores (Discussion Paper),Multilingual access to multi-store big data storage systems: application to mobility data and smart cities
A Similarity Function for Multi-Level and Multi-Dimensional Itemsets,Summarization and visualization of multi-level and multi-dimensional itemsets
A Similarity Function for Multi-Level and Multi-Dimensional Itemsets,Augmenting the Knowledge Pyramid with Unconventional Data and Advanced Analytics
Self-adaptive analytical querying over schemaless data streams,Schema validation and evaluation framework for extracted schemas in JSON databases
Automating materiality assessment with a data-driven document-based approach,Integration of associative tokens into thematic hyperspace: A method for determining semantically significant clusters in dynamic text streams
ASSO: the Automated Schemaless Stream Overseer,Self-adaptive analytical querying over schemaless data streams
Describing and assessing cubes through intentional analytics,Causal Banzhaf Value for aggregate query explanations.
Dynamic Stream Clustering for Real-Time Schema Profiling with Dsc+,DynamicClustream: an algorithm based on clustream to improve clustering quality
